IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
8.217.250.5,2052,FALSE,HKG,Asia Pacific,Hong Kong,56 ms,27959 kB/s
8.217.239.116,8880,FALSE,HKG,Asia Pacific,Hong Kong,67 ms,24939 kB/s
47.238.35.50,2086,FALSE,HKG,Asia Pacific,Hong Kong,60 ms,24909 kB/s
47.76.192.24,2052,FALSE,HKG,Asia Pacific,Hong Kong,65 ms,24179 kB/s
47.76.49.246,2052,FALSE,HKG,Asia Pacific,Hong Kong,60 ms,23965 kB/s
47.242.252.237,2086,FALSE,HKG,Asia Pacific,Hong Kong,59 ms,23393 kB/s
8.218.122.55,2082,FALSE,HKG,Asia Pacific,Hong Kong,66 ms,22675 kB/s
47.242.183.7,2082,FALSE,HKG,Asia Pacific,Hong Kong,57 ms,22549 kB/s
8.210.21.65,2082,FALSE,HKG,Asia Pacific,Hong Kong,57 ms,22459 kB/s
47.242.17.250,2086,FALSE,HKG,Asia Pacific,Hong Kong,56 ms,22329 kB/s
8.210.3.24,2052,FALSE,HKG,Asia Pacific,Hong Kong,58 ms,21466 kB/s
8.218.98.75,2095,FALSE,HKG,Asia Pacific,Hong Kong,60 ms,20492 kB/s
47.242.36.78,2095,FALSE,HKG,Asia Pacific,Hong Kong,67 ms,20079 kB/s
47.242.59.216,8080,FALSE,HKG,Asia Pacific,Hong Kong,64 ms,19759 kB/s
8.217.49.34,2082,FALSE,HKG,Asia Pacific,Hong Kong,60 ms,19701 kB/s
8.217.221.165,2095,FALSE,HKG,Asia Pacific,Hong Kong,61 ms,19227 kB/s
47.238.43.79,2095,FALSE,HKG,Asia Pacific,Hong Kong,63 ms,18658 kB/s
47.243.203.119,2086,FALSE,HKG,Asia Pacific,Hong Kong,63 ms,18603 kB/s
8.218.11.90,2052,FALSE,HKG,Asia Pacific,Hong Kong,60 ms,18395 kB/s
8.218.85.128,2052,FALSE,HKG,Asia Pacific,Hong Kong,62 ms,18282 kB/s
8.210.207.214,8080,FALSE,HKG,Asia Pacific,Hong Kong,71 ms,18230 kB/s
47.243.27.217,2052,FALSE,HKG,Asia Pacific,Hong Kong,64 ms,24387 kB/s
8.218.155.238,2052,FALSE,HKG,Asia Pacific,Hong Kong,56 ms,23815 kB/s
47.238.43.79,8880,FALSE,HKG,Asia Pacific,Hong Kong,71 ms,21211 kB/s
47.74.155.26,80,FALSE,SIN,Asia Pacific,Singapore,99 ms,21192 kB/s
47.242.79.71,2095,FALSE,HKG,Asia Pacific,Hong Kong,62 ms,20768 kB/s
47.242.183.7,8880,FALSE,HKG,Asia Pacific,Hong Kong,58 ms,20360 kB/s
8.218.53.110,8080,FALSE,HKG,Asia Pacific,Hong Kong,64 ms,19910 kB/s
47.243.74.220,2052,FALSE,HKG,Asia Pacific,Hong Kong,52 ms,19902 kB/s
47.243.186.171,8080,FALSE,HKG,Asia Pacific,Hong Kong,58 ms,19576 kB/s
47.242.171.94,80,FALSE,HKG,Asia Pacific,Hong Kong,67 ms,19460 kB/s
47.242.36.78,80,FALSE,HKG,Asia Pacific,Hong Kong,69 ms,19300 kB/s
8.218.122.55,2082,FALSE,HKG,Asia Pacific,Hong Kong,66 ms,18941 kB/s
8.210.174.156,2095,FALSE,HKG,Asia Pacific,Hong Kong,62 ms,18837 kB/s
8.218.74.119,8880,FALSE,HKG,Asia Pacific,Hong Kong,71 ms,18668 kB/s
8.210.175.109,8880,FALSE,HKG,Asia Pacific,Hong Kong,67 ms,18430 kB/s
47.76.192.24,2082,FALSE,HKG,Asia Pacific,Hong Kong,64 ms,18415 kB/s
47.242.183.7,80,FALSE,HKG,Asia Pacific,Hong Kong,70 ms,18377 kB/s
47.242.252.237,8880,FALSE,HKG,Asia Pacific,Hong Kong,70 ms,18135 kB/s
47.76.98.98,8880,FALSE,HKG,Asia Pacific,Hong Kong,70 ms,17947 kB/s
47.243.91.58,2052,FALSE,HKG,Asia Pacific,Hong Kong,60 ms,17899 kB/s
47.76.214.139,2052,FALSE,HKG,Asia Pacific,Hong Kong,61 ms,17758 kB/s
8.218.3.198,2052,FALSE,HKG,Asia Pacific,Hong Kong,57 ms,17723 kB/s
8.210.101.157,8880,FALSE,HKG,Asia Pacific,Hong Kong,64 ms,17713 kB/s
8.210.107.246,2052,FALSE,HKG,Asia Pacific,Hong Kong,56 ms,17261 kB/s
8.217.85.14,2052,FALSE,HKG,Asia Pacific,Hong Kong,59 ms,16982 kB/s
8.217.193.25,8880,FALSE,HKG,Asia Pacific,Hong Kong,76 ms,16932 kB/s
47.242.183.7,2052,FALSE,HKG,Asia Pacific,Hong Kong,58 ms,16671 kB/s
8.217.147.230,2052,FALSE,HKG,Asia Pacific,Hong Kong,62 ms,16626 kB/s
