IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
47.76.98.98,2052,FALSE,HKG,Asia Pacific,Hong Kong,65 ms,13971 kB/s
47.76.32.108,2052,FALSE,HKG,Asia Pacific,Hong Kong,60 ms,13680 kB/s
47.238.35.50,2086,FALSE,HKG,Asia Pacific,Hong Kong,61 ms,10073 kB/s
47.238.35.50,2095,FALSE,HKG,Asia Pacific,Hong Kong,64 ms,22765 kB/s
47.76.192.24,2086,FALSE,HKG,Asia Pacific,Hong Kong,57 ms,20390 kB/s
47.243.91.58,2082,FALSE,HKG,Asia Pacific,Hong Kong,75 ms,14187 kB/s
47.76.29.115,2052,FALSE,HKG,Asia Pacific,Hong Kong,60 ms,9710 kB/s
47.76.192.24,80,FALSE,HKG,Asia Pacific,Hong Kong,57 ms,9251 kB/s
8.217.106.47,80,FALSE,HKG,Asia Pacific,Hong Kong,55 ms,29657 kB/s
47.74.155.26,80,FALSE,SIN,Asia Pacific,Singapore,102 ms,23361 kB/s
47.76.94.15,80,FALSE,HKG,Asia Pacific,Hong Kong,61 ms,15158 kB/s
47.76.94.15,8880,FALSE,HKG,Asia Pacific,Hong Kong,61 ms,12316 kB/s
47.76.94.15,2052,FALSE,HKG,Asia Pacific,Hong Kong,64 ms,10677 kB/s
47.76.77.103,2082,FALSE,HKG,Asia Pacific,Hong Kong,62 ms,9622 kB/s
47.76.77.103,2052,FALSE,HKG,Asia Pacific,Hong Kong,61 ms,9517 kB/s
47.74.155.26,80,FALSE,SIN,Asia Pacific,Singapore,91 ms,20435 kB/s
47.76.192.24,8080,FALSE,HKG,Asia Pacific,Hong Kong,67 ms,12793 kB/s
47.76.192.24,2082,FALSE,HKG,Asia Pacific,Hong Kong,59 ms,12252 kB/s
47.76.29.115,80,FALSE,HKG,Asia Pacific,Hong Kong,73 ms,11263 kB/s
47.238.35.50,2095,FALSE,HKG,Asia Pacific,Hong Kong,68 ms,10797 kB/s
47.76.29.115,2082,FALSE,HKG,Asia Pacific,Hong Kong,58 ms,10218 kB/s
